y[]	Lagy[,1]	Lagy[,2]	PC[,1]	PC[,2]	PC[,3]	PC[,4]	PC[,5]	PC[,6]	PC[,7]	PC[,8]	PC[,9]	PC[,10]
0.93	0.722	0.61	-10.2726144141018	-1.24660533371200	0.43499965118398	0.312305942435680	2.26937083489653	1.65917238687918	1.49670640604767	-0.0109325432508219	0.183030074792769	-2.10717322049862
0.555	0.93	0.722	-8.8999448791024	-0.728985367243388	-0.107650092747189	-0.0151373740672490	1.52763737731756	2.00016050775511	-0.290477153864089	-0.775790004472451	1.15106352251250	-1.18909855245013
0.198	0.555	0.93	-9.03728817206023	0.234856251416509	-3.33252027815663	-0.733880327975416	1.59560120399040	1.12114940327127	1.51149199888486	0.307624358722918	0.849132088315615	-0.750715712918768
0.65	0.198	0.555	-8.63340563414033	-1.13426472942289	0.107034720065042	1.85804182888873	1.43873039272407	1.97584726722775	0.323558067188695	-0.00192146019832863	1.03998604994530	-2.26827826419077
0.432	0.65	0.198	-8.56868983493748	-0.366268470891385	-2.04011101807195	0.171565837033002	0.656639335542056	2.74197883318327	0.85964745817447	0.259303839057811	-0.0480153980640592	-2.93829626750682
0.187	0.432	0.65	-8.41106195294904	-1.37449598483682	-1.38636844868508	1.06375508253273	1.36244990618554	1.75139736140755	0.144600130335137	-1.20652986726661	1.55732090540258	-0.193520319943637
0.114	0.187	0.432	-7.00994588232496	-0.21634419401081	1.52550347110545	-2.25232258923690	-0.416624171247988	4.18854764296882	-2.45121413370067	-2.50374097041185	-1.74861015344566	-1.92595278587716
0.413	0.114	0.187	-8.54747592526334	0.385609935457438	-2.80389723671528	1.18887901486020	1.62923351949440	3.03336845763017	0.0343259641746645	-0.990684388258856	0.282703459496769	-0.76745597231679
0.584	0.413	0.114	-7.59719219293835	0.884200647987568	-1.95664663036617	1.19016102902562	2.32339723547875	3.41437457461826	0.234305976432024	-1.84429914134674	-1.78232704513570	-1.32543413543229
0.315	0.584	0.413	-6.553478168931	1.28741991004103	-3.33326476345437	0.255151065887052	1.41739609460903	3.20556572115574	1.02396623362589	-0.247273600515730	1.94680306716169	-1.04840600027788
